PH	OC	Mg	N	P	K	Zn	Fe	Cu	Mn	Sand	Silt	Clay	CaCO3	CEC	Fertility_Class
5	9.45	3.77	258	19.7	268	0.31	6.3	0.52	5.7	85.7	5.2	9.1	7.48	16.27	Very High
5	9.45	3.77	258	19.7	268	0.31	6.3	0.52	5.7	85.7	5.2	9.1	7.48	16.27	Very High
5.01	2.73	6.69	34	12.43	13	0.08	4.79	0.3	5.76	64.64	8.32	8.98	5.44	9.21	Low
5.01	2.73	6.69	34	12.43	13	0.08	4.79	0.3	5.76	64.64	8.32	8.98	5.44	9.21	Low
5.01	2.73	2.69	24	7.43	13	0.08	4.79	0.3	2.76	54.64	8.32	8.98	5.44	6.21	Very Low
5.01	3.18	2.41	182	31.93	234	1.81	4.52	0.56	6.29	89.98	5.17	9.52	6.69	8.51	High
5.01	3.18	2.41	182	31.93	234	1.81	4.52	0.56	6.29	89.98	5.17	9.52	6.69	8.51	High
5.01	3.86	2.39	202	21.86	243	0.43	5.27	0.68	4.95	84.03	11.27	8.45	8.84	11.7	High
5.01	3.18	2.41	182	31.93	234	1.81	4.52	0.56	6.29	89.98	5.17	9.52	6.69	8.51	High
5.01	2.73	6.69	134	22.43	193	0.08	4.79	0.3	5.76	74.64	8	8.98	9.44	9.21	Moderate
5.01	2.73	6.69	134	22.43	193	0.08	4.79	0.3	5.76	74.64	8	8.98	9.44	9.21	Moderate
5.02	4.39	4.28	415	20.43	394	1.28	8.23	0.49	4.71	84.56	11.69	9.26	4.19	13.3	Very High
5.02	4.39	4.28	415	20.43	394	1.28	8.23	0.49	4.71	84.56	11.69	9.26	4.19	13.3	Very High
5.03	3.93	5.46	347	34.01	119	1.31	9.6	0.92	2.02	75.37	12.29	12.29	6.31	18.87	Very High
5.03	2.26	1.67	182	38.98	363	1.77	5.6	0.93	3.59	73.86	13.15	14.31	17.95	15.01	Very High
5.03	3.93	5.46	347	34.01	119	1.31	9.6	0.92	2.02	75.37	12.29	12.29	6.31	18.87	Very High
5.03	2.26	1.67	182	38.98	363	1.77	5.6	0.93	3.59	73.86	13.15	14.31	17.95	15.01	Very High
5.04	1.84	0.58	111	13.09	351	1.39	7	0.77	5.93	91.28	16.5	7.53	18.12	8.07	High
5.04	1.84	0.58	111	13.09	351	1.39	7	0.77	5.93	91.28	16.5	7.53	18.12	8.07	High
5.04	1.84	0.58	111	13.09	351	1.39	7	0.77	5.93	91.28	16.5	7.53	18.12	8.07	High
5.05	2.31	5.53	179	49.7	117	1.24	3.3	0.9	6.53	81.1	18.5	8	7.4	19.7	Very High
5.05	0.79	4.65	325	56.9	274	0.77	4.8	0.98	1.96	87.38	5.53	8.42	13.07	21.57	Very High
5.05	2.31	5.53	179	49.7	117	1.24	3.3	0.9	6.53	81.1	18.5	8	7.4	19.7	Very High
5.05	0.79	4.65	325	56.9	274	0.77	4.8	0.98	1.96	87.38	5.53	8.42	13.07	21.57	Very High
5.05	2.31	5.53	179	49.7	117	1.24	3.3	0.9	6.53	81.1	18.5	8	7.4	19.7	Very High
5.05	3.98	4.53	282	42.15	204	1.43	2.84	0.49	2.6	86.59	7.38	10.11	5.06	6.41	High
5.05	3.98	4.53	282	42.15	204	1.43	2.84	0.49	2.6	86.59	7.38	10.11	5.06	6.41	High
5.05	3.98	4.53	282	42.15	204	1.43	2.84	0.49	2.6	86.59	7.38	10.11	5.06	6.41	High
5.06	3.31	3.42	486	56.76	358	0.92	3.39	0.93	2.63	74.43	12.53	14.2	9.89	19.73	Very High
5.06	3.31	3.42	486	56.76	358	0.92	3.39	0.93	2.63	74.43	12.53	14.2	9.89	19.73	Very High
5.06	3.31	3.42	486	56.76	358	0.92	3.39	0.93	2.63	74.43	12.53	14.2	9.89	19.73	Very High
